SRL_OLD,SRL_NEW,Inventory,Supplier,PO,Order,Date,Type,QTY,Width,Height,Length,BDF,Species,Grade,Dryness,Dryness Today,Summary Name,Condition,BDF Cost,Freight Cost,Landed Cost,Value,Markup,Sell,Age,Status,Date Used,Project
RMT 221001 0013,,RMT,Delson,,12372,10/1/2022,Heavy Timber,1,6,6,10,30.00,POC - FOHC,#2/Btr Appearance,Green,,POC - FOHC - 6x6x10,,  2.74 ,  0.52 ,  3.26 ,  97.89 ,  1.25 ,  122.36 ,  10.00 ,Available,,
RMT 221001 0014,,RMT,Delson,,12372,10/1/2022,Heavy Timber,1,6,6,10,30.00,POC - FOHC,#2/Btr Appearance,Green,,POC - FOHC - 6x6x10,Damaged,  2.74 ,  0.52 ,  3.26 ,  97.89 ,  1.25 ,  122.36 ,  10.00 ,Available,,
RMT 221001 0015,,RMT,Delson,,12372,10/1/2022,Heavy Timber,1,6,6,10,30.00,POC - FOHC,#2/Btr Appearance,Green,,POC - FOHC - 6x6x10,Damaged,  2.74 ,  0.52 ,  3.26 ,  97.89 ,  1.25 ,  122.36 ,  10.00 ,Available,,
RMT 221001 0016,,RMT,Delson,,12372,10/1/2022,Heavy Timber,1,6,6,10,30.00,POC - FOHC,#2/Btr Appearance,Green,,POC - FOHC - 6x6x10,Damaged,  2.74 ,  0.52 ,  3.26 ,  97.89 ,  1.25 ,  122.36 ,  10.00 ,Available,,
RMT 221001 0017,,RMT,Delson,,12372,10/1/2022,Heavy Timber,1,6,6,10,30.00,POC - FOHC,#2/Btr Appearance,Green,,POC - FOHC - 6x6x10,,  2.74 ,  0.52 ,  3.26 ,  97.89 ,  1.25 ,  122.36 ,  10.00 ,Available,,
RMT 221001 0018,,RMT,Delson,,12372,10/1/2022,Heavy Timber,1,6,6,8,24.00,POC - FOHC,#2/Btr Appearance,Green,,POC - FOHC - 6x6x8,,  2.74 ,  0.52 ,  3.26 ,  78.31 ,  1.25 ,  97.89 ,  10.00 ,Available,,
RMT 221001 0019,,RMT,Delson,,12372,10/1/2022,Heavy Timber,1,6,6,8,24.00,POC - FOHC,#2/Btr Appearance,Green,,POC - FOHC - 6x6x8,,  2.74 ,  0.52 ,  3.26 ,  78.31 ,  1.25 ,  97.89 ,  10.00 ,Available,,
RMT 221001 0020,,RMT,Delson,,12372,10/1/2022,Heavy Timber,1,6,6,8,24.00,POC - FOHC,#2/Btr Appearance,Green,,POC - FOHC - 6x6x8,,  2.74 ,  0.52 ,  3.26 ,  78.31 ,  1.25 ,  97.89 ,  10.00 ,Available,,
RMT 221001 0021,,RMT,Delson,,12372,10/1/2022,Heavy Timber,1,6,6,8,24.00,POC - FOHC,#2/Btr Appearance,Green,,POC - FOHC - 6x6x8,,  2.74 ,  0.52 ,  3.26 ,  78.31 ,  1.25 ,  97.89 ,  10.00 ,Available,,
RMT 221001 0022,,RMT,Delson,,12372,10/1/2022,Heavy Timber,1,6,6,8,24.00,POC - FOHC,#2/Btr Appearance,Green,,POC - FOHC - 6x6x8,,  2.74 ,  0.52 ,  3.26 ,  78.31 ,  1.25 ,  97.89 ,  10.00 ,Available,,
